city,lat,lng,STATE,population,id
Camp Hill,40.2422,-76.9274,PA,7939,1840001385
Old Forge,41.3705,-75.7409,PA,7937,1840003387
Downingtown,40.0076,-75.7019,PA,7928,1840001425
Carnegie,40.408,-80.0861,PA,7898,1840001214
Blandon,40.4446,-75.8799,PA,7863,1840026444
Ancient Oaks,40.536,-75.5852,PA,7769,1840034845
Quarryville,39.8957,-76.1617,PA,7761,1840003726
Pittston,41.3274,-75.7885,PA,7694,1840000766
White Oak,40.3415,-79.8007,PA,7673,1840001277
Gettysburg,39.8304,-77.2339,PA,7633,1840000683
Palmyra,40.31,-76.5945,PA,7527,1840001350
Ashland,40.7811,-76.3451,PA,7487,1840002753
Connellsville,40.0158,-79.5899,PA,7368,1840001501
New Cumberland,40.2298,-76.8763,PA,7318,1840001391
Tyrone,40.6764,-78.246,PA,7294,1840001087
Leola,40.0915,-76.1891,PA,7287,1840005492
Lower Allen,40.2261,-76.9017,PA,7128,1840035428
Roaring Spring,40.3348,-78.3959,PA,6842,1840001086
Parkville,39.786,-76.9685,PA,6781,1840005507
Maple Glen,40.1778,-75.1793,PA,6764,1840035082
Homeacre-Lyndora,40.8721,-79.9211,PA,6760,1840073691
Blairsville,40.4325,-79.2599,PA,6759,1840000990
Edinboro,41.8762,-80.1247,PA,6729,1840000476
Ambridge,40.5922,-80.2264,PA,6724,1840001010
Portage,40.3868,-78.6746,PA,6717,1840001122
Penn Estates,41.0346,-75.2417,PA,6631,1840035454
Clairton,40.2976,-79.8854,PA,6611,1840001219
Catasauqua,40.6531,-75.4643,PA,6596,1840001045
Slippery Rock,41.0695,-80.058,PA,6578,1840000874
Lionville,40.0524,-75.644,PA,6548,1840005502
Richboro,40.2262,-75.0006,PA,6510,1840005407
Oakmont,40.52,-79.8365,PA,6445,1840001250
Littlestown,39.7452,-77.0891,PA,6369,1840000684
California,40.0692,-79.9152,PA,6364,1840003642
Forest Hills,40.4252,-79.8545,PA,6354,1840001232
Red Lion,39.8986,-76.6078,PA,6346,1840001461
Enola,40.2908,-76.9348,PA,6326,1840005483
Corry,41.926,-79.6358,PA,6313,1840000474
Blue Bell,40.1474,-75.2687,PA,6290,1840034868
Plymouth Meeting,40.1099,-75.2798,PA,6261,1840005459
Swarthmore,39.9022,-75.3488,PA,6257,1840000712
Blakely,41.4859,-75.6012,PA,6245,1840003375
Montgomery,41.1709,-76.874,PA,6236,1840000631
Punxsutawney,40.9437,-78.9767,PA,6207,1840003471
North East,42.2134,-79.8333,PA,6206,1840000483
South Williamsport,41.2294,-77.0009,PA,6142,1840000636
Northern Cambria,40.6561,-78.7784,PA,6109,1840001097
Wescosville,40.5617,-75.5489,PA,6004,1840035250
Linglestown,40.3445,-76.795,PA,5980,1840005401
Steelton,40.2258,-76.8255,PA,5949,1840001297
Taylor,41.3958,-75.7147,PA,5934,1840003390
Selinsgrove,40.8003,-76.8647,PA,5922,1840002799
Wyndmoor,40.0856,-75.1941,PA,5911,1840035271
Oreland,40.1148,-75.1801,PA,5889,1840005458
Hellertown,40.5811,-75.3378,PA,5847,1840000973
Crafton,40.4333,-80.0712,PA,5803,1840001221
Dickson City,41.4684,-75.6358,PA,5799,1840003380
Hollidaysburg,40.4311,-78.393,PA,5767,1840001083
Moosic,41.3584,-75.7027,PA,5742,1840003385
Trooper,40.1489,-75.3995,PA,5732,1840005470
Nazareth,40.74,-75.3132,PA,5711,1840000974
Paoli,40.042,-75.4912,PA,5705,1840005501
Fort Washington,40.1407,-75.1925,PA,5640,1840005460
Exeter,41.3338,-75.8214,PA,5589,1840000749
Oxford,39.7859,-75.9801,PA,5574,1840001431
Paxtonia,40.3166,-76.7884,PA,5564,1840005399
Duquesne,40.3732,-79.8502,PA,5547,1840001224
Honesdale,41.5774,-75.2524,PA,5536,1840003314
Coraopolis,40.5148,-80.1627,PA,5530,1840001220
Monaca,40.6833,-80.2736,PA,5522,1840001025
Stroudsburg,40.9838,-75.1972,PA,5511,1840003509
New Holland,40.1008,-76.09,PA,5492,1840003725
Boothwyn,39.8357,-75.4453,PA,5478,1840005548
Breinigsville,40.5393,-75.6342,PA,5478,1840026409
Titusville,41.6273,-79.6699,PA,5447,1840000562
Orwigsburg,40.6541,-76.104,PA,5416,1840002770
Fox Chapel,40.5247,-79.8898,PA,5309,1840001197
Palmerton,40.8023,-75.616,PA,5306,1840003564
Lehighton,40.8306,-75.7166,PA,5304,1840000933
Gilbertsville,40.3219,-75.609,PA,5281,1840005461
Arlington Heights,41.0039,-75.2116,PA,5238,1840034849
Bangor,40.8678,-75.2085,PA,5227,1840000966
Birdsboro,40.262,-75.8099,PA,5167,1840001172
Schuylkill Haven,40.6284,-76.1729,PA,5155,1840002778
Stewartstown,39.7528,-76.5925,PA,5142,1840001465
Schlusser,40.2432,-77.1784,PA,5139,1840035438
Collegeville,40.1873,-75.4581,PA,5130,1840003696
Olyphant,41.4507,-75.5753,PA,5042,1840003388
Bridgeville,40.3578,-80.1061,PA,5023,1840001213
Shanor-Northvue,40.9104,-79.9157,PA,5021,1840035235
Eagleville,40.1604,-75.409,PA,5019,1840034937
Rutherford,40.2696,-76.7678,PA,5001,1840035437
Economy,40.641,-80.184,PA,9178,1840066074
St. Marys,41.4574,-78.5343,PA,9071,1840000618
Archbald,41.5077,-75.5453,PA,6954,1840003374
Jim Thorpe,40.8712,-75.7433,PA,5421,1840000931
Sugarcreek,41.438,-79.8183,PA,5009,1840003430
Providence,41.823,-71.4187,RI,1206642,1840003289
Pawtucket,41.8744,-71.3743,RI,72001,1840003285
Woonsocket,42.001,-71.4993,RI,41759,1840003290
North Providence,41.8616,-71.4575,RI,32345,1840106198
